"","Watershed","Site.ID","Date","Observer","Expected","Start.Time","End.time","Spp","Sign.Type","Fresh","Time","Photo.Ref","Veg","Camera","GPS","Water.level.rain.report","snow","Mode","Water","Wetland","Built","UpGrass","Shrub","Forest"
"1","Pawcatuck",2197,2020-12-15,"John Crockett",NA,2020-12-15 12:00:00,2020-12-15 13:06:00,"beaver","chewed stick old",NA,1899-12-31 12:12:00,NA,"Shrub swamp",NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"2","Pawcatuck",2197,2020-12-15,"John Crockett",NA,2020-12-15 12:00:00,2020-12-15 13:06:00,"muskrat","scat old",NA,1899-12-31 12:17:00,NA,"Shrub swamp",NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"3","Pawcatuck",2197,2020-12-15,"John Crockett",NA,2020-12-15 12:00:00,2020-12-15 13:06:00,"beaver","chewed stick fresh",NA,1899-12-31 12:18:00,NA,"Shrub swamp",NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"4","Pawcatuck",2197,2020-12-15,"John Crockett",NA,2020-12-15 12:00:00,2020-12-15 13:06:00,"muskrat","chewed grass",NA,1899-12-31 12:24:00,NA,"Shrub swamp",NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"5","Pawcatuck",2197,2020-12-15,"John Crockett",NA,2020-12-15 12:00:00,2020-12-15 13:06:00,"beaver","chewed stick fresh",NA,1899-12-31 12:34:00,NA,"Shrub swamp",NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"6","Pawcatuck",2197,2020-12-15,"John Crockett",NA,2020-12-15 12:00:00,2020-12-15 13:06:00,"muskrat","scat fresh",NA,1899-12-31 12:37:00,NA,"Shrub swamp",NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"7","Pawcatuck",2197,2020-12-15,"John Crockett",NA,2020-12-15 12:00:00,2020-12-15 13:06:00,"beaver","dam",NA,1899-12-31 12:41:00,NA,"Shrub swamp",NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"8","BIS",792,2020-12-16,"John Crockett",NA,2020-12-16 10:47:00,2020-12-16 11:55:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"9","BIS",792,2020-12-16,"Emerson Paton",NA,2020-12-16 10:45:00,2020-12-16 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"10","BIS",799,2020-12-16,"John Crockett",NA,2020-12-16 10:03:00,2020-12-16 10:29:00,NA,NA,NA,NA,NA,"salt marsh",NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"11","BIS",799,2020-12-16,"Emerson Paton",NA,2020-12-16 10:02:00,2020-12-16 10:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kayak",NA,NA,NA,NA,NA,NA
"12","Pawcatuck",2197,2021-01-12,"John Crockett",NA,2021-01-12 13:32:00,2021-01-12 14:12:00,"beaver","chewed shrub",NA,1899-12-31 13:39:00,"1 silver","Shrub swamp","Silver","2",NA,NA,"kayak",0,0.55,0,0,0,0.45
"13","Pawcatuck",2197,2021-01-12,"John Crockett",NA,2021-01-12 13:32:00,2021-01-12 14:12:00,"beaver","chewed branch",NA,1899-12-31 13:45:00,"2,3 silver","Shrub swamp","Silver","2",NA,NA,"kayak",0,0.55,0,0,0,0.45
"14","Pawcatuck",2197,2021-01-12,"John Crockett",NA,2021-01-12 13:32:00,2021-01-12 14:12:00,"muskrat","scat",NA,1899-12-31 13:47:00,"4,5 silver","Shrub swamp","Silver","2",NA,NA,"kayak",0,0.55,0,0,0,0.45
"15","Pawcatuck",2197,2021-01-12,"John Crockett",NA,2021-01-12 13:32:00,2021-01-12 14:12:00,"muskrat","chewed grass",NA,1899-12-31 13:50:00,"6,7 silver","Shrub swamp","Silver","2",NA,NA,"kayak",0,0.55,0,0,0,0.45
"16","Pawcatuck",2197,2021-01-12,"John Crockett",NA,2021-01-12 13:32:00,2021-01-12 14:12:00,"muskrat","scat",NA,1899-12-31 13:58:00,"8 silver","fresh water","Silver","2",NA,NA,"kayak",0,0.55,0,0,0,0.45
