"","Watershed","Site.ID","Date","Observer","Expected","Start.Time","End.time","Spp","Sign.Type","Fresh","Time","Veg","Camera","GPS","snow","Mode","Water","Wetland","Built","UpGrass","Shrub","Forest"
"1","Pawtuxet",6,2022-01-12,"John Crockett","beaver",2022-01-12 11:08:00,2022-01-12 11:48:00,"beaver","chewed stick","N",1899-12-31 11:13:00,"river edge",1,5,"Y","Kayak",0,0.975,0,0,0,0.025
"2","Pawtuxet",6,2022-01-12,"John Crockett","beaver",2022-01-12 11:08:00,2022-01-12 11:48:00,"beaver","chewed stick","Y",1899-12-31 11:23:00,"river edge",1,5,"Y","Kayak",0,0.975,0,0,0,0.025
"3","Pawtuxet",6,2022-01-12,"John Crockett","beaver",2022-01-12 11:08:00,2022-01-12 11:48:00,"beaver","chewed stick","N",1899-12-31 11:35:00,"river edge",1,5,"Y","Kayak",0,0.975,0,0,0,0.025
"4","Pawtuxet",6,2022-01-12,"John Crockett","beaver",2022-01-12 11:08:00,2022-01-12 11:48:00,"beaver","chewed stick","Y",1899-12-31 11:43:00,"river edge",1,5,"Y","Kayak",0,0.975,0,0,0,0.025
"5","Pawtuxet",6,2022-01-12,"Justin Moore","beaver",2022-01-12 11:13:00,2022-01-12 11:50:00,"beaver","chewed stick","Y",1899-12-31 11:15:00,"river edge",2,2,"N","Kayak",0,0.972972972972973,0,0,0,0.027027027027027
"6","Pawtuxet",6,2022-01-12,"Justin Moore","beaver",2022-01-12 11:13:00,2022-01-12 11:50:00,"muskrat?","lodge","N",1899-12-31 11:17:00,"river edge",2,2,"N","Kayak",0,0.972972972972973,0,0,0,0.027027027027027
"7","Pawtuxet",6,2022-01-12,"Justin Moore","beaver",2022-01-12 11:13:00,2022-01-12 11:50:00,"beaver","food cache","Y",1899-12-31 11:28:00,"river edge",2,2,"N","Kayak",0,0.972972972972973,0,0,0,0.027027027027027
"8","Pawtuxet",6,2022-01-12,"Justin Moore","beaver",2022-01-12 11:13:00,2022-01-12 11:50:00,"beaver","chewed stick","N",1899-12-31 11:33:00,"river edge",2,2,"N","Kayak",0,0.972972972972973,0,0,0,0.027027027027027
"9","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"muskrat","scat","Y",1899-12-31 10:55:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"10","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","chewed stick","not very old looking",1899-12-31 10:56:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"11","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"muskrat","scat","N",1899-12-31 10:57:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"12","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"muskrat","scat","N",1899-12-31 10:58:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"13","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","chewed stick","N",1899-12-31 10:59:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"14","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","chewed stick","N",1899-12-31 11:00:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"15","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","chewed stick","N",1899-12-31 11:08:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"16","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","chewed stick","N",1899-12-31 11:09:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"17","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","small pile of chewed sticks","N",1899-12-31 11:12:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"18","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","chewed stick","N",1899-12-31 11:14:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"19","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","chewed stick","N",1899-12-31 11:15:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"20","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","chewed stick","N",1899-12-31 11:16:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"21","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","chewed stick","N",1899-12-31 11:17:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"22","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","chewed stick","N",1899-12-31 11:18:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"23","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"muskrat","scat","N",1899-12-31 11:19:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"24","Pawtuxet",6,2022-06-29,"Jess Burr","N/A",2022-06-29 10:40:00,2022-06-29 11:26:00,"beaver","chewed stick","N",1899-12-31 11:22:00,"forested river",2,4,"N","kayak",0,1,0,0,0,0
"25","Pawtuxet",6,2022-06-29,"John Crockett","beaver",2022-06-29 10:42:00,2022-06-29 11:19:00,"muskrat","scat","Y",1899-12-31 10:44:00,"stream edge/emergent marsh",1,2,"N","kayak",0,1,0,0,0,0
"26","Pawtuxet",6,2022-06-29,"John Crockett","beaver",2022-06-29 10:42:00,2022-06-29 11:19:00,"muskrat","scat","N",1899-12-31 10:55:00,"stream edge",1,2,"N","kayak",0,1,0,0,0,0
"27","Pawtuxet",6,2022-06-29,"John Crockett","beaver",2022-06-29 10:42:00,2022-06-29 11:19:00,"beaver","chewed stick","N",1899-12-31 10:56:00,"stream edge",1,2,"N","kayak",0,1,0,0,0,0
"28","Pawtuxet",6,2022-06-29,"John Crockett","beaver",2022-06-29 10:42:00,2022-06-29 11:19:00,"beaver","chewed stick","N",1899-12-31 11:11:00,"stream edge",1,2,"N","kayak",0,1,0,0,0,0
"29","Pawtuxet",9,2022-02-24,"Justin Moore","beaver",2022-02-24 12:29:00,2022-02-24 13:10:00,"beaver","chewed stick","N",1899-12-31 12:31:00,"river edge",2,5,"N","Kayak",0,0,0,0,0,1
"30","Pawtuxet",9,2022-02-24,"Justin Moore","beaver",2022-02-24 12:29:00,2022-02-24 13:10:00,"muskrat","scat","Y",1899-12-31 12:37:00,"river edge",2,5,"N","Kayak",0,0,0,0,0,1
"31","Pawtuxet",9,2022-02-24,"Justin Moore","beaver",2022-02-24 12:29:00,2022-02-24 13:10:00,"beaver","chewed stick","N",1899-12-31 12:41:00,"river edge",2,5,"N","Kayak",0,0,0,0,0,1
"32","Pawtuxet",9,2022-02-24,"Justin Moore","beaver",2022-02-24 12:29:00,2022-02-24 13:10:00,"beaver","chewed stick","N",1899-12-31 12:59:00,"river edge",2,5,"N","Kayak",0,0,0,0,0,1
