"","Watershed","Site.ID","Date","Location","Observer","Expected","Start.Time","End.time","Spp","Sign.Type","Fresh","Time","Photo.Ref","Veg","Camera","GPS","Water.level.rain.report","snow","Mode","Water","Wetland","Built","UpGrass","Shrub","Forest"
"1","Blackstone",132,2023-01-04,"black hut WMA #1","Chris Boylston","N/A",2023-01-04 11:17:00,2023-01-04 11:42:00,"beaver","chewed stump","N","0.48402777777777778",NA,"Forest, edge of stream","2","1","recent rain","None","walking",0,0,0,0,0,1
"2","Blackstone",133,2023-01-04,"black hut WMA #2","Chris Boylston",NA,2023-01-04 11:42:00,2023-01-04 12:17:00,"beaver","chewed stump","n","0.49027777777777781",NA,"Forest, edge of stream","2","1","recent rain","None","walking",0,0,0,0,0,1
"3","Blackstone",133,2023-01-04,"black hut WMA #2","Chris Boylston",NA,2023-01-04 11:42:00,2023-01-04 12:17:00,"beaver","chewed stump","n","0.49861111111111112",NA,"Forest, edge of stream","2","1","recent rain","None","walking",0,0,0,0,0,1
"4","Blackstone",114,2023-01-04,"black hut WMA #3","Chris Boylston",NA,2023-01-04 13:12:00,2023-01-04 13:56:00,"N/A",NA,NA,NA,NA,NA,"2","1","recent rain","None","walking",0,0,0,0,0,1
"5","Blackstone",132,2023-01-04,"Blackhut WMA #1","John Crockett","N/A",2023-01-04 11:17:00,2023-01-04 11:42:00,"Beaver","chewed stick","n","0.47916666666666669",NA,"stream/forest","1","2","recent rain","none","walking",0,0,0,0,0,1
"6","Blackstone",132,2023-01-04,"Blackhut WMA #1","John Crockett","N/A",2023-01-04 11:17:00,2023-01-04 11:42:00,"Beaver","?","n","0.4861111111111111",NA,"stream/forest","1","2","recent rain","none","walking",0,0,0,0,0,1
"7","Blackstone",133,2023-01-04,"Blackhut WMA #2","John Crockett","beaver",2023-01-04 11:42:00,2023-01-04 12:15:00,"beaver","chewed stick","n","0.48888888888888887",NA,"stream/forest","1","2","recent rain","none","walking",0,0,0,0,0,1
"8","Blackstone",133,2023-01-04,"Blackhut WMA #2","John Crockett","beaver",2023-01-04 11:42:00,2023-01-04 12:15:00,"beaver","lodge","n","0.4916666666666667",NA,"stream/forest","1","2","recent rain","none","walking",0,0,0,0,0,1
"9","Blackstone",114,2023-01-04,"Blackhut WMA #3","John Crockett","beaver",2023-01-04 13:12:00,2023-01-04 13:49:00,"beaver","chewed stick","n","0.56944444444444442",NA,"stream/forest","1","2","recent rain","none","walking",0,0,0,0,0,1
"10","Blackstone",130,2023-01-05,"black hut WMA #4","Chris Boylston","N/A",2023-01-05 10:51:00,2023-01-05 11:06:00,"N/A",NA,NA,NA,NA,NA,"2","2","Recent Rain","none","Walking",0.666666666666667,0,0,0,0,0.333333333333333
"11","Blackstone",128,2023-01-05,"black hut WMA #5","Chris Boylston",NA,2023-01-05 11:18:00,2023-01-05 11:46:00,"otter?","fish scales/shells","n","0.48125000000000001",NA,"stream at edge of lake","2","2","recent rain","none","walking",0,0,0,0,0,1
"12","Blackstone",128,2023-01-05,"black hut WMA #5","Chris Boylston",NA,2023-01-05 11:18:00,2023-01-05 11:46:00,"otter","fish scales","n","0.48333333333333334",NA,"stream at edge of lake","2","2","recent rain","none","walking",0,0,0,0,0,1
"13","Blackstone",128,2023-01-05,"black hut WMA #5","Chris Boylston",NA,2023-01-05 11:18:00,2023-01-05 11:46:00,"mink?","foot prints","Y","0.4861111111111111","4","stream at edge of lake","2","2","recent rain","none","walking",0,0,0,0,0,1
"14","Blackstone",126,2023-01-05,"black hut WMA #6","Chris Boylston",NA,2023-01-05 12:00:00,2023-01-05 12:15:00,"N/A",NA,NA,NA,NA,NA,"2","2","recent rain","none","walking",0,0,0,0,0,1
