"","X","Watershed","Site.ID","Date","Observer","Expected","Start.Time","End.time","Spp","Sign.Type","Fresh","Time","Veg","Camera","GPS","snow","Mode","Water","Wetland","Built","UpGrass","Shrub","Forest","lon","lat","Temp","cloudcover","Precip"
"1",1,"Pawtuxet",6,"2022-01-12","John Crockett","beaver","2022-01-12 11:08:00","2022-01-12 11:48:00","beaver","chewed stick","N","1899-12-31 11:13:00","river edge","1","5","Y","Kayak",0,0.975,0,0,0,0.025,-71.607427597,41.6445536725,0.2,46,0
"2",2,"Pawtuxet",6,"2022-01-12","John Crockett","beaver","2022-01-12 11:08:00","2022-01-12 11:48:00","beaver","chewed stick","Y","1899-12-31 11:23:00","river edge","1","5","Y","Kayak",0,0.975,0,0,0,0.025,-71.607427597,41.6445536725,0.2,46,0
"3",3,"Pawtuxet",6,"2022-01-12","John Crockett","beaver","2022-01-12 11:08:00","2022-01-12 11:48:00","beaver","chewed stick","N","1899-12-31 11:35:00","river edge","1","5","Y","Kayak",0,0.975,0,0,0,0.025,-71.607427597,41.6445536725,0.2,46,0
"4",4,"Pawtuxet",6,"2022-01-12","John Crockett","beaver","2022-01-12 11:08:00","2022-01-12 11:48:00","beaver","chewed stick","Y","1899-12-31 11:43:00","river edge","1","5","Y","Kayak",0,0.975,0,0,0,0.025,-71.607427597,41.6445536725,0.2,46,0
"5",5,"Pawtuxet",6,"2022-01-12","Justin Moore","beaver","2022-01-12 11:13:00","2022-01-12 11:50:00","beaver","chewed stick","Y","1899-12-31 11:15:00","river edge","2","2","N","Kayak",0,0.972972972972973,0,0,0,0.027027027027027,-71.6075228155,41.6442629881,0.2,46,0
"6",6,"Pawtuxet",6,"2022-01-12","Justin Moore","beaver","2022-01-12 11:13:00","2022-01-12 11:50:00","muskrat?","lodge","N","1899-12-31 11:17:00","river edge","2","2","N","Kayak",0,0.972972972972973,0,0,0,0.027027027027027,-71.6075228155,41.6442629881,0.2,46,0
"7",7,"Pawtuxet",6,"2022-01-12","Justin Moore","beaver","2022-01-12 11:13:00","2022-01-12 11:50:00","beaver","food cache","Y","1899-12-31 11:28:00","river edge","2","2","N","Kayak",0,0.972972972972973,0,0,0,0.027027027027027,-71.6075228155,41.6442629881,0.2,46,0
"8",8,"Pawtuxet",6,"2022-01-12","Justin Moore","beaver","2022-01-12 11:13:00","2022-01-12 11:50:00","beaver","chewed stick","N","1899-12-31 11:33:00","river edge","2","2","N","Kayak",0,0.972972972972973,0,0,0,0.027027027027027,-71.6075228155,41.6442629881,0.2,46,0
"9",9,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","muskrat","scat","Y","1899-12-31 10:55:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"10",10,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","beaver","chewed stick","not very old looking","1899-12-31 10:56:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"11",11,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","muskrat","scat","N","1899-12-31 10:57:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
"12",12,"Pawtuxet",6,"2022-06-29","Jess Burr","N/A","2022-06-29 10:40:00","2022-06-29 11:26:00","muskrat","scat","N","1899-12-31 10:58:00","forested river","2","4","N","kayak",0,1,0,0,0,0,-71.6074537486,41.6444499884,23.6,32,0
