"","Newtime","Watershed","Site.ID","Date","Observer","Expected","Start.Time","End.time","Spp","Sign.Type","Fresh","Time","Photo.Ref","Veg","Camera","GPS","Water.level.rain.report","snow","Mode","X","lon","lat","ele","time"
"1",2021-07-15 09:05:00,"Quinebaug",6824,2021-07-15,"Kylie Rezendes","beaver",1899-12-31 08:45:00,1899-12-31 09:54:00,"beaver","chewed stick","N",1899-12-31 09:05:00,"1","pond",2,1,NA,"N","Kayak",3939,-71.7713761143,41.6982724518,112.61,"2021-07-15T13:04:43Z"
"2",2021-07-15 09:13:00,"Quinebaug",6824,2021-07-15,"Kylie Rezendes","beaver",1899-12-31 08:45:00,1899-12-31 09:54:00,"beaver","chewed stick","N",1899-12-31 09:13:00,"2","pond",2,1,NA,"N","Kayak",3957,-71.7717374582,41.6984897107,110.69,"2021-07-15T13:12:35Z"
"3",2021-07-15 09:40:00,"Quinebaug",6824,2021-07-15,"Kylie Rezendes","beaver",1899-12-31 08:45:00,1899-12-31 09:54:00,"beaver","chewed stick","N",1899-12-31 09:40:00,NA,"pond",2,1,NA,"N","Kayak",4023,-71.7701365147,41.6973320022,107.32,"2021-07-15T13:39:42Z"
"4",2021-07-15 10:43:00,"Quinebaug",6221,2021-07-15,"Kylie Rezendes",NA,1899-12-31 10:31:00,1899-12-31 11:34:00,"beaver","chewed stick","N",1899-12-31 10:43:00,"1","river/forest",2,1,NA,"N","Foot",4329,-71.7634579819,41.7025975138,104.92,"2021-07-15T14:42:48Z"
"5",2021-07-15 11:08:00,"Quinebaug",6221,2021-07-15,"Kylie Rezendes",NA,1899-12-31 10:31:00,1899-12-31 11:34:00,"beaver","chewed tree","N",1899-12-31 11:08:00,"2","river/forest",2,1,NA,"N","Foot",4390,-71.7626763694,41.7027494777,112.61,"2021-07-15T15:07:46Z"
"6",2021-07-15 11:10:00,"Quinebaug",6221,2021-07-15,"Kylie Rezendes",NA,1899-12-31 10:31:00,1899-12-31 11:34:00,"muskrat","scat","Y",1899-12-31 11:10:00,"3","river/forest",2,1,NA,"N","Foot",4394,-71.762515353,41.7028452829,116.46,"2021-07-15T15:09:30Z"
"7",2021-07-15 13:11:00,"Quinebaug",5761,2021-07-15,"Kylie Rezendes","muskrat, beaver",1899-12-31 13:06:00,1899-12-31 14:00:00,"beaver","castor mound","N",1899-12-31 13:11:00,"1,2","stream",2,1,NA,"N","Kayak",4889,-71.7720337585,41.686654212,103.48,"2021-07-15T17:10:48Z"
"8",2021-07-15 13:18:00,"Quinebaug",5761,2021-07-15,"Kylie Rezendes","muskrat, beaver",1899-12-31 13:06:00,1899-12-31 14:00:00,"beaver","chewed branch","Y",1899-12-31 13:18:00,"3","stream",2,1,NA,"N","Kayak",4906,-71.7719538789,41.6868724767,103.96,"2021-07-15T17:17:45Z"
"9",2021-07-15 13:27:00,"Quinebaug",5761,2021-07-15,"Kylie Rezendes","muskrat, beaver",1899-12-31 13:06:00,1899-12-31 14:00:00,"musk?","chewed veg",NA,1899-12-31 13:27:00,"4","stream",2,1,NA,"N","Kayak",4928,-71.7719134782,41.6876035463,102.04,"2021-07-15T17:26:38Z"
"10",2021-07-15 13:31:00,"Quinebaug",5761,2021-07-15,"Kylie Rezendes","muskrat, beaver",1899-12-31 13:06:00,1899-12-31 14:00:00,"beaver","castor mound",NA,1899-12-31 13:31:00,"5","stream",2,1,NA,"N","Kayak",4939,-71.7718386278,41.6877299454,105.4,"2021-07-15T17:30:45Z"
