"","lon","lat","ele","time","datetime"
"2",-71.7458090466,41.6895774845,178.46,"2021-02-25T16:50:06Z",2021-02-25 16:50:06
"3",-71.7457007524,41.6895819269,172.21,"2021-02-25T16:50:18Z",2021-02-25 16:50:18
"4",-71.7455853336,41.6896027979,165.96,"2021-02-25T16:50:32Z",2021-02-25 16:50:32
"5",-71.7454236466,41.6896237526,162.6,"2021-02-25T16:50:45Z",2021-02-25 16:50:45
"6",-71.745236814,41.689621238,158.27,"2021-02-25T16:50:58Z",2021-02-25 16:50:58
"7",-71.7450804077,41.6896224953,154.91,"2021-02-25T16:51:09Z",2021-02-25 16:51:09
"8",-71.7450649012,41.6896209866,154.43,"2021-02-25T16:51:10Z",2021-02-25 16:51:10
"9",-71.7448587064,41.6896267701,148.18,"2021-02-25T16:51:23Z",2021-02-25 16:51:23
"10",-71.7446417827,41.6896424443,140.97,"2021-02-25T16:51:38Z",2021-02-25 16:51:38
"11",-71.7444956861,41.6896524187,136.16,"2021-02-25T16:51:50Z",2021-02-25 16:51:50
"12",-71.7443261202,41.6896632314,136.64,"2021-02-25T16:52:04Z",2021-02-25 16:52:04
"13",-71.7442299798,41.6896590404,136.64,"2021-02-25T16:52:17Z",2021-02-25 16:52:17
"14",-71.7441199254,41.6896525025,139.05,"2021-02-25T16:52:35Z",2021-02-25 16:52:35
"15",-71.7439346854,41.6896682605,142.89,"2021-02-25T16:52:50Z",2021-02-25 16:52:50
"16",-71.743835276,41.6896763071,140.97,"2021-02-25T16:53:10Z",2021-02-25 16:53:10
"17",-71.7438313365,41.6896848567,138.09,"2021-02-25T16:53:27Z",2021-02-25 16:53:27
"18",-71.743768556,41.6896542627,135.2,"2021-02-25T16:53:57Z",2021-02-25 16:53:57
"19",-71.7437886726,41.689642109,135.2,"2021-02-25T16:54:16Z",2021-02-25 16:54:16
"20",-71.7436708231,41.6895090044,139.05,"2021-02-25T16:54:39Z",2021-02-25 16:54:39
"21",-71.7436766904,41.6895242594,135.2,"2021-02-25T16:55:10Z",2021-02-25 16:55:10
"22",-71.7436169274,41.6895266902,132.8,"2021-02-25T16:55:24Z",2021-02-25 16:55:24
"23",-71.7436520476,41.6895134468,132.32,"2021-02-25T16:55:40Z",2021-02-25 16:55:40
"24",-71.7435133271,41.6895189788,129.92,"2021-02-25T16:55:55Z",2021-02-25 16:55:55
"25",-71.7433270812,41.6895275284,123.19,"2021-02-25T16:56:08Z",2021-02-25 16:56:08
"26",-71.7431352194,41.6895379219,115.98,"2021-02-25T16:56:22Z",2021-02-25 16:56:22
"27",-71.7428977601,41.6895227507,114.05,"2021-02-25T16:56:35Z",2021-02-25 16:56:35
"28",-71.7426752206,41.6895009577,114.05,"2021-02-25T16:56:48Z",2021-02-25 16:56:48
"29",-71.7425195687,41.6894948389,112.61,"2021-02-25T16:57:00Z",2021-02-25 16:57:00
"30",-71.7422402836,41.6895018797,105.4,"2021-02-25T16:57:16Z",2021-02-25 16:57:16
"31",-71.7420092784,41.6895038076,103,"2021-02-25T16:57:31Z",2021-02-25 16:57:31
"32",-71.7419744097,41.6895009577,103.96,"2021-02-25T16:57:33Z",2021-02-25 16:57:33
"33",-71.7418355215,41.6894662566,110.21,"2021-02-25T16:57:47Z",2021-02-25 16:57:47
"34",-71.7418263853,41.6894454695,117.42,"2021-02-25T16:58:02Z",2021-02-25 16:58:02
"35",-71.7417454999,41.6893990338,121.74,"2021-02-25T16:58:15Z",2021-02-25 16:58:15
"36",-71.7417276464,41.6893985309,117.9,"2021-02-25T16:58:30Z",2021-02-25 16:58:30
"37",-71.7417716514,41.6894203238,123.19,"2021-02-25T16:58:41Z",2021-02-25 16:58:41
"38",-71.7417460028,41.6893983632,125.59,"2021-02-25T16:58:59Z",2021-02-25 16:58:59
"39",-71.7416533828,41.6893789172,122.71,"2021-02-25T16:59:14Z",2021-02-25 16:59:14
"40",-71.7417066079,41.6893727146,122.22,"2021-02-25T16:59:32Z",2021-02-25 16:59:32
"41",-71.7417008244,41.6893533524,124.63,"2021-02-25T16:59:52Z",2021-02-25 16:59:52
"42",-71.741724126,41.6893702839,124.63,"2021-02-25T17:00:14Z",2021-02-25 17:00:14
"43",-71.7417066079,41.6893603932,126.07,"2021-02-25T17:00:37Z",2021-02-25 17:00:37
"44",-71.7416595854,41.6893440485,127.03,"2021-02-25T17:01:06Z",2021-02-25 17:01:06
"45",-71.7416986451,41.6893325653,126.07,"2021-02-25T17:01:43Z",2021-02-25 17:01:43
"46",-71.7416900955,41.6893124487,126.07,"2021-02-25T17:02:09Z",2021-02-25 17:02:09
"47",-71.7416838929,41.6892739758,127.99,"2021-02-25T17:02:30Z",2021-02-25 17:02:30
"48",-71.7416747566,41.6892622411,127.99,"2021-02-25T17:02:51Z",2021-02-25 17:02:51
"49",-71.7417023331,41.6892396938,128.47,"2021-02-25T17:03:13Z",2021-02-25 17:03:13
"50",-71.741650952,41.689205328,126.55,"2021-02-25T17:03:34Z",2021-02-25 17:03:34
"51",-71.7416750919,41.6891906597,125.59,"2021-02-25T17:03:57Z",2021-02-25 17:03:57
"52",-71.7416951247,41.6891759075,125.11,"2021-02-25T17:04:01Z",2021-02-25 17:04:01
"53",-71.7418341804,41.6891208384,125.11,"2021-02-25T17:04:13Z",2021-02-25 17:04:13
"54",-71.7418742459,41.6890790965,125.59,"2021-02-25T17:04:17Z",2021-02-25 17:04:17
"55",-71.7419200949,41.6888648551,127.03,"2021-02-25T17:04:34Z",2021-02-25 17:04:34
"56",-71.742102569,41.6887175012,126.55,"2021-02-25T17:04:49Z",2021-02-25 17:04:49
"57",-71.7423033156,41.6885891743,127.03,"2021-02-25T17:05:06Z",2021-02-25 17:05:06
"58",-71.742575895,41.6885424033,127.03,"2021-02-25T17:05:24Z",2021-02-25 17:05:24
"59",-71.7427327204,41.6885160841,127.99,"2021-02-25T17:05:36Z",2021-02-25 17:05:36
"60",-71.7429048847,41.6883466858,127.99,"2021-02-25T17:05:56Z",2021-02-25 17:05:56
"61",-71.7430192139,41.688172007,128.95,"2021-02-25T17:06:15Z",2021-02-25 17:06:15
"62",-71.743000187,41.6879936401,128.47,"2021-02-25T17:06:36Z",2021-02-25 17:06:36
"63",-71.7429909669,41.6879780497,128.47,"2021-02-25T17:06:38Z",2021-02-25 17:06:38
"64",-71.7428902164,41.6879373975,127.51,"2021-02-25T17:06:49Z",2021-02-25 17:06:49
"65",-71.7428813316,41.6879198793,127.51,"2021-02-25T17:06:51Z",2021-02-25 17:06:51
"66",-71.7429129314,41.6878567636,127.51,"2021-02-25T17:06:57Z",2021-02-25 17:06:57
"67",-71.7431565933,41.6877335496,127.03,"2021-02-25T17:07:16Z",2021-02-25 17:07:16
"68",-71.743229432,41.6876178794,127.03,"2021-02-25T17:07:34Z",2021-02-25 17:07:34
"69",-71.7432605289,41.6876068152,127.03,"2021-02-25T17:07:37Z",2021-02-25 17:07:37
"70",-71.7433119938,41.6875880398,127.03,"2021-02-25T17:07:41Z",2021-02-25 17:07:41
"71",-71.7434065416,41.6874254309,130.4,"2021-02-25T17:07:56Z",2021-02-25 17:07:56
"72",-71.7434836552,41.6872101836,131.36,"2021-02-25T17:08:13Z",2021-02-25 17:08:13
"73",-71.743581472,41.6870453954,130.4,"2021-02-25T17:08:30Z",2021-02-25 17:08:30
"74",-71.7436384689,41.6869810224,130.4,"2021-02-25T17:08:53Z",2021-02-25 17:08:53
"75",-71.7436649557,41.6868476663,130.4,"2021-02-25T17:09:09Z",2021-02-25 17:09:09
"76",-71.7436459288,41.686617583,131.84,"2021-02-25T17:09:28Z",2021-02-25 17:09:28
"77",-71.7435564101,41.6863928642,130.4,"2021-02-25T17:09:47Z",2021-02-25 17:09:47
"78",-71.7433206271,41.6862661298,129.43,"2021-02-25T17:10:06Z",2021-02-25 17:10:06
"79",-71.7430049647,41.6862191074,129.43,"2021-02-25T17:10:25Z",2021-02-25 17:10:25
"80",-71.7428933177,41.6862297524,128.47,"2021-02-25T17:10:43Z",2021-02-25 17:10:43
"81",-71.7428536713,41.6861273255,128.95,"2021-02-25T17:11:07Z",2021-02-25 17:11:07
"82",-71.7428089958,41.6860877629,126.55,"2021-02-25T17:11:31Z",2021-02-25 17:11:31
"83",-71.7427836824,41.6861341987,126.55,"2021-02-25T17:11:49Z",2021-02-25 17:11:49
"84",-71.7427215725,41.6861704085,126.55,"2021-02-25T17:12:16Z",2021-02-25 17:12:16
"85",-71.7426858656,41.686118776,127.03,"2021-02-25T17:12:48Z",2021-02-25 17:12:48
"86",-71.7426323052,41.6860829014,126.55,"2021-02-25T17:13:18Z",2021-02-25 17:13:18
"87",-71.7426416092,41.6860838234,126.55,"2021-02-25T17:13:48Z",2021-02-25 17:13:48
"88",-71.7426253483,41.6860778723,127.03,"2021-02-25T17:14:21Z",2021-02-25 17:14:21
"89",-71.7427651584,41.6861547343,127.03,"2021-02-25T17:14:40Z",2021-02-25 17:14:40
"90",-71.7427933216,41.6861834843,127.51,"2021-02-25T17:15:07Z",2021-02-25 17:15:07
"91",-71.7427501548,41.6861896031,126.55,"2021-02-25T17:15:39Z",2021-02-25 17:15:39
"92",-71.7428389192,41.6862356197,126.55,"2021-02-25T17:15:57Z",2021-02-25 17:15:57
"93",-71.7428803258,41.6862377152,127.03,"2021-02-25T17:16:23Z",2021-02-25 17:16:23
"94",-71.7428544257,41.686241487,127.51,"2021-02-25T17:16:49Z",2021-02-25 17:16:49
"95",-71.7428646516,41.6862379666,128.95,"2021-02-25T17:17:21Z",2021-02-25 17:17:21
"96",-71.7428507376,41.6862252261,127.51,"2021-02-25T17:17:48Z",2021-02-25 17:17:48
"97",-71.7428410146,41.6862540599,127.03,"2021-02-25T17:18:19Z",2021-02-25 17:18:19
"98",-71.7428290285,41.6862398107,125.59,"2021-02-25T17:18:55Z",2021-02-25 17:18:55
"99",-71.7427960876,41.6861843225,125.11,"2021-02-25T17:19:17Z",2021-02-25 17:19:17
"100",-71.7427286133,41.6861634515,126.07,"2021-02-25T17:19:44Z",2021-02-25 17:19:44
"101",-71.7427138612,41.6861466039,125.11,"2021-02-25T17:20:15Z",2021-02-25 17:20:15
"102",-71.7426829319,41.6861078795,127.03,"2021-02-25T17:20:33Z",2021-02-25 17:20:33
"103",-71.7426677607,41.6860976536,127.03,"2021-02-25T17:20:55Z",2021-02-25 17:20:55
"104",-71.7425966822,41.6860834043,127.03,"2021-02-25T17:21:20Z",2021-02-25 17:21:20
"105",-71.7425234243,41.6860709153,127.03,"2021-02-25T17:21:48Z",2021-02-25 17:21:48
"106",-71.742522167,41.6861005872,128.47,"2021-02-25T17:22:05Z",2021-02-25 17:22:05
"107",-71.7425188981,41.6861078795,127.99,"2021-02-25T17:22:33Z",2021-02-25 17:22:33
"108",-71.7425130308,41.6860787943,127.51,"2021-02-25T17:22:51Z",2021-02-25 17:22:51
"109",-71.7424027249,41.6860778723,125.59,"2021-02-25T17:23:18Z",2021-02-25 17:23:18
"110",-71.7423928343,41.6861049458,126.07,"2021-02-25T17:23:40Z",2021-02-25 17:23:40
"111",-71.7423862964,41.6860845778,125.59,"2021-02-25T17:24:06Z",2021-02-25 17:24:06
"112",-71.7423071712,41.6860846616,126.55,"2021-02-25T17:24:28Z",2021-02-25 17:24:28
"113",-71.7422922514,41.6860980727,126.55,"2021-02-25T17:24:49Z",2021-02-25 17:24:49
"114",-71.7422666866,41.6860937141,125.11,"2021-02-25T17:25:09Z",2021-02-25 17:25:09
