"","lon","lat","ele","time","datetime"
"2",-71.4535751659,41.5771371033,18.88,"2022-07-01T14:47:51Z",2022-07-01 14:47:51
"3",-71.4535902534,41.5771529451,6.87,"2022-07-01T14:48:34Z",2022-07-01 14:48:34
"4",-71.4535986353,41.577190496,2.54,"2022-07-01T14:49:07Z",2022-07-01 14:49:07
"5",-71.4535770938,41.5771735646,3.5,"2022-07-01T14:49:38Z",2022-07-01 14:49:38
"6",-71.4535729866,41.577140037,6.87,"2022-07-01T14:50:17Z",2022-07-01 14:50:17
"7",-71.4535827935,41.5771237761,11.19,"2022-07-01T14:50:46Z",2022-07-01 14:50:46
"8",-71.4535915945,41.5771454014,7.83,"2022-07-01T14:51:26Z",2022-07-01 14:51:26
"9",-71.4535861462,41.5771738999,5.42,"2022-07-01T14:52:04Z",2022-07-01 14:52:04
"10",-71.4535900019,41.5771786775,9.75,"2022-07-01T14:52:38Z",2022-07-01 14:52:38
"11",-71.453616824,41.5771865565,8.79,"2022-07-01T14:53:08Z",2022-07-01 14:53:08
"12",-71.4536187518,41.5771941002,7.83,"2022-07-01T14:53:40Z",2022-07-01 14:53:40
"13",-71.4535987191,41.5772049129,6.39,"2022-07-01T14:54:17Z",2022-07-01 14:54:17
"14",-71.4536036644,41.5772165637,3.98,"2022-07-01T14:54:51Z",2022-07-01 14:54:51
"15",-71.4536141418,41.5772209223,4.46,"2022-07-01T14:55:17Z",2022-07-01 14:55:17
"16",-71.4536175784,41.577207176,7.35,"2022-07-01T14:55:58Z",2022-07-01 14:55:58
"17",-71.4536296483,41.5772205032,10.71,"2022-07-01T14:56:33Z",2022-07-01 14:56:33
"18",-71.4536050055,41.5772267897,8.79,"2022-07-01T14:57:01Z",2022-07-01 14:57:01
"19",-71.4535958692,41.577189574,5.91,"2022-07-01T14:57:34Z",2022-07-01 14:57:34
"20",-71.4535928518,41.5771804377,11.67,"2022-07-01T14:58:04Z",2022-07-01 14:58:04
