"","lon","lat","ele","time","datetime"
"2",-72.769735,44.509659,420.6,"2023-03-19T13:02:44Z",2023-03-19 13:02:44
"3",-72.769766,44.509568,421.1,"2023-03-19T13:03:06Z",2023-03-19 13:03:06
"4",-72.769789,44.509574,421.3,"2023-03-19T13:03:07Z",2023-03-19 13:03:07
"5",-72.769777,44.509582,421.2,"2023-03-19T13:03:08Z",2023-03-19 13:03:08
"6",-72.769861,44.50959,418,"2023-03-19T13:03:21Z",2023-03-19 13:03:21
"7",-72.769817,44.509561,420,"2023-03-19T13:03:36Z",2023-03-19 13:03:36
"8",-72.76983,44.509508,420,"2023-03-19T13:03:58Z",2023-03-19 13:03:58
"9",-72.769788,44.509537,420,"2023-03-19T13:04:21Z",2023-03-19 13:04:21
"10",-72.769743,44.509529,420,"2023-03-19T13:04:31Z",2023-03-19 13:04:31
"11",-72.769815,44.509525,420,"2023-03-19T13:05:01Z",2023-03-19 13:05:01
"12",-72.769776,44.509542,420,"2023-03-19T13:05:16Z",2023-03-19 13:05:16
"13",-72.769731,44.509515,416,"2023-03-19T13:05:25Z",2023-03-19 13:05:25
"14",-72.769775,44.509517,418,"2023-03-19T13:05:40Z",2023-03-19 13:05:40
"15",-72.769745,44.509481,420,"2023-03-19T13:05:47Z",2023-03-19 13:05:47
"16",-72.769715,44.509466,421,"2023-03-19T13:05:50Z",2023-03-19 13:05:50
"17",-72.769742,44.50949,420,"2023-03-19T13:06:00Z",2023-03-19 13:06:00
"18",-72.769729,44.509512,420,"2023-03-19T13:06:08Z",2023-03-19 13:06:08
"19",-72.769759,44.509566,420,"2023-03-19T13:06:16Z",2023-03-19 13:06:16
"20",-72.769858,44.509608,419,"2023-03-19T13:06:49Z",2023-03-19 13:06:49
"21",-72.769814,44.509654,421,"2023-03-19T13:07:46Z",2023-03-19 13:07:46
"22",-72.769835,44.509621,419,"2023-03-19T13:08:10Z",2023-03-19 13:08:10
"23",-72.769798,44.509651,422,"2023-03-19T13:08:22Z",2023-03-19 13:08:22
"24",-72.769749,44.509614,422,"2023-03-19T13:08:28Z",2023-03-19 13:08:28
"25",-72.769738,44.509568,420,"2023-03-19T13:08:36Z",2023-03-19 13:08:36
"26",-72.769759,44.509601,421,"2023-03-19T13:08:49Z",2023-03-19 13:08:49
